,image,width,height,class_ids,XMin,YMin,XMax,YMax
0,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.576171875,0.18359375,0.021484375,0.015625
1,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.25,0.71484375,0.025390625,0.013671875
2,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.5078125,0.466796875,0.03125,0.029296875
3,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.37890625,0.599609375,0.02734375,0.03515625
4,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.423828125,0.5078125,0.029296875,0.03125
5,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.189453125,0.431640625,0.033203125,0.03515625
6,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.810546875,0.3125,0.037109375,0.033203125
7,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.095703125,0.056640625,0.037109375,0.0390625
8,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.791015625,0.77734375,0.037109375,0.04296875
9,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.4296875,0.548828125,0.029296875,0.04296875
10,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.34375,0.5703125,0.0390625,0.03125
11,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.263671875,0.828125,0.041015625,0.04296875
12,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.75,0.28515625,0.041015625,0.03515625
13,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.791015625,0.7421875,0.04296875,0.029296875
14,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.25,0.326171875,0.0390625,0.0390625
15,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.23828125,0.3828125,0.046875,0.041015625
16,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.36328125,0.08203125,0.041015625,0.0390625
17,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.216796875,0.337890625,0.0390625,0.041015625
18,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.283203125,0.79296875,0.05078125,0.048828125
19,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.2890625,0.537109375,0.048828125,0.06640625
20,C:/Users/3055638/Documents/cd8/data/cd8/train_01.jpg,512,512,cd8,0.22265625,0.431640625,0.0546875,0.0625
21,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.400390625,0.18359375,0.021484375,0.015625
22,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.72265625,0.71484375,0.025390625,0.013671875
23,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.458984375,0.466796875,0.03125,0.029296875
24,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.544921875,0.5078125,0.029296875,0.03125
25,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.591796875,0.599609375,0.02734375,0.03515625
26,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.775390625,0.431640625,0.033203125,0.03515625
27,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.150390625,0.3125,0.037109375,0.033203125
28,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.865234375,0.056640625,0.037109375,0.0390625
29,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.169921875,0.77734375,0.037109375,0.04296875
30,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.5390625,0.548828125,0.029296875,0.04296875
31,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.615234375,0.5703125,0.0390625,0.03125
32,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.693359375,0.828125,0.041015625,0.04296875
33,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.20703125,0.28515625,0.041015625,0.03515625
34,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.1640625,0.7421875,0.04296875,0.029296875
35,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.708984375,0.326171875,0.0390625,0.0390625
36,C:/Users/3055638/Documents/cd8/data/cd8/train_01_lr_rotate.jpg,512,512,cd8,0.712890625,0.3828125,0.046875,0.041015625
